icd_code,disease_name,chapter,synonyms,short_desc
J680,"Bronchitis and pneumonitis due to chemicals, gases, fumes and vapors",Respiratory,,
J690,Pneumonitis due to inhalation of food and vomit,Respiratory,,
J700,Acute pulmonary manifestations due to radiation,Respiratory,,
J810,Acute pulmonary edema,Respiratory,,
J842,Lymphoid interstitial pneumonia,Respiratory,,
J850,Gangrene and necrosis of lung,Respiratory,,
J860,Pyothorax with fistula,Respiratory,,
J910,Malignant pleural effusion,Respiratory,,
J920,Pleural plaque with presence of asbestos,Respiratory,,
J930,Spontaneous tension pneumothorax,Respiratory,,
J940,Chylous effusion,Respiratory,,
J951,Acute pulmonary insufficiency following thoracic surgery,Respiratory,,
J982,Interstitial emphysema,Respiratory,,
K000,Anodontia,Digestive,,
K010,Embedded teeth,Digestive,,
K023,Arrested dental caries,Digestive,,
K030,Excessive attrition of teeth,Digestive,,
K041,Necrosis of pulp,Digestive,,
K054,Periodontosis,Digestive,,
K061,Gingival enlargement,Digestive,,
K080,Exfoliation of teeth due to systemic causes,Digestive,,
K090,Developmental odontogenic cysts,Digestive,,
K110,Atrophy of salivary gland,Digestive,,
K120,Recurrent oral aphthae,Digestive,,
K130,Diseases of lips,Digestive,gastritis|Gastritis disorder|Gastritis disease,Gastritis within Diseases of the digestive system. Category-level grouping.
K140,Glossitis,Digestive,,
K200,Eosinophilic esophagitis,Digestive,pancreatic disorder|Pancreatic disorder disorder|Pancreatic disorder disease,Pancreatic disorder within Diseases of the digestive system. Category-level grouping.
K219,Gastro-esophageal reflux disease without esophagitis,Digestive,,
K220,Achalasia of cardia,Digestive,,
K250,Acute gastric ulcer with hemorrhage,Digestive,,
K260,Acute duodenal ulcer with hemorrhage,Digestive,liver disease|Liver disease disorder|Liver disease disease,Liver disease within Diseases of the digestive system. Category-level grouping.
K270,"Acute peptic ulcer, site unspecified, with hemorrhage",Digestive,,
K280,Acute gastrojejunal ulcer with hemorrhage,Digestive,,
K310,Acute dilatation of stomach,Digestive,,
K380,Hyperplasia of appendix,Digestive,,
K420,"Umbilical hernia with obstruction, without gangrene",Digestive,,
K430,"Incisional hernia with obstruction, without gangrene",Digestive,,
K440,"Diaphragmatic hernia with obstruction, without gangrene",Digestive,,
K450,"Other specified abdominal hernia with obstruction, without gangrene",Digestive,,
K460,"Unspecified abdominal hernia with obstruction, without gangrene",Digestive,,
K520,Gastroenteritis and colitis due to radiation,Digestive,,
K551,Chronic vascular disorders of intestine,Digestive,,
K560,Paralytic ileus,Digestive,,
K580,Irritable bowel syndrome with diarrhea,Digestive,,
K591,Functional diarrhea,Digestive,,
K600,Acute anal fissure,Digestive,,
K610,Anal abscess,Digestive,,
K620,Anal polyp,Digestive,,
K630,Abscess of intestine,Digestive,,
